model,samples,cer,accuracy,correct,wrong,latency_p50,latency_p95,latency_mean
讯飞文件转写,23001,0.050866998708725325,0.719273075083692,16544,6457,9095.0,31301.0,11480.57815331451
Paraformer,23005,0.05552343215123147,0.7285372745055423,16760,6245,170.0,305.0,186.9543306428004
Qwen3-ASR,22994,0.05586066940559565,0.7348003827085327,16896,6098,270.0,588.0,314.77294019238815
FunASR-Nano,23005,0.056398632158465294,0.7685720495544447,17681,5324,217.0,465.0,254.46739994144954
SenseVoice,23006,0.06088181244101975,0.6742154220638095,15511,7495,,,
